outtxt_1,outtxt_2,outtxt_3,outtxt_4
116,44,38,42
121,46,38,42
126,49,38,42
129,51,38,42
133,53,38,42
137,53,38,42
142,54,38,42
146,56,38,42
149,57,38,42
151,58,38,42
153,59,38,42
155,58,38,42
155,56,38,42
152,53,38,42
146,50,38,42
140,47,38,42
133.000749812547,45.0003749062734,38,42
125.001624500148,43.0006247969375,38,42
117.002624140902,42.0008747032246,38,42
111.003623766041,41.0009996407519,38,42
105.004373453666,42.0011245938964,38,42
99.0051231725252,43.0009996095234,38,42
94.0058728913806,44.0008746563847,38,42
93.0064976414782,45.0007497032421,38,42
97.0066225321618,46.0006247500996,38,42
105.006122641523,49.000499796957,38,42
114.005122953931,51.0001249062988,38,42
122.005122953931,53.0001249062988,38,42
129.005122953931,55.0001249062988,38,42
135.004248172627,46.9998749687832,38,42
138.0034984694,43.00087475008,38,42
142.003123656816,41.0013745001699,38,42
145.002623828625,41.0016243752323,38,42
147.002248984814,45.0016243440058,38,42
145.001999094142,56.0011244689784,38,42
142.001999094142,58.0011244689784,38,42
140.001999094142,58.0011244689784,38,42
135.001999094142,57.0011244689784,38,42
130.001999094142,56.0011244689784,38,42
123.002623937932,54.0012494377362,38,42
116.00349864115,51.0014993596347,38,42
112.004373313144,47.0018742346757,38,42
106.004873078869,41.0023740628592,38,42
108.004873078869,37.0023740628592,38,42
115.004623141353,36.0028739378905,38,42
126.003748391283,37.0029988441795,38,42
140.002373844264,38.0028738598123,38,42
155.00062445343,38.0027489066737,38,42
164.998750140682,39.0027489222889,38,42
170.997500687334,40.0026239535292,38,42
172.997500687334,42.0026239535292,38,42
169.997500687334,44.0026239535292,38,42
162.997500687334,47.0026239535292,38,42
152.998375468639,51.0022490472557,38,42
140.999625046897,53.001749219076,38,42
126.001124515832,55.0014993440233,38,42
111.002998859812,56.0012494377343,38,42
100.004873156945,56.001124500207,38,42
92.0062475790525,56.0011245158202,38,42
85.0072471573551,57.0011245158183,38,42
83.0081218137437,57.0009995470605,38,42
82.0083716419546,54.0009995626777,38,42
81.0084965794917,48.0013744689491,38,42
86.0086215326363,42.0021242346444,38,42
95.007996673232,35.002873953494,38,42
105.0068720325,29.0037486411072,38,42
118.005622485466,24.0044983443455,38,42
130.003998047769,24.0051230944451,38,42
141.002498625679,26.0051230163708,38,42
144.001124156724,28.0048730788649,38,42
141.000749422217,29.0046231725837,38,42
139.00112437532,32.0044982350564,38,42
